iter	Passed	Remaining
683	719503	332402
684	720482	331316
685	721276	330146
686	721861	328882
687	722843	327801
688	723718	326671
689	725374	325892
690	727566	325351
691	728534	324261
692	730306	323526
693	732105	322801
694	733045	321696
695	735234	321136
696	736038	319971
697	736680	318735
698	737472	317566
699	738427	316468
700	739324	315346
701	739913	314094
702	740698	312926
703	741406	311727
704	742371	310637
705	742932	309379
706	744041	308351
707	745641	307524
708	746529	306403
709	747260	305219
710	748549	304262
711	751396	303935
712	752579	302931
713	753426	301792
714	754567	300771
715	755485	299661
716	756199	298472
717	757479	297506
718	760453	297200
719	762309	296453
720	764111	295682
721	765423	294719
722	766233	293563
723	768093	292809
724	770731	292346
725	771832	291297
726	772530	290097
727	773934	289162
728	775398	288248
729	776594	287233
730	778694	286551
731	781059	285961
732	782264	284944
733	783880	284076
734	785325	283144
735	787519	282479
736	788289	281302
737	789068	280129
738	789832	278952
739	790721	277821
740	791520	276658
741	792219	275461
742	792935	274272
743	794002	273205
744	794806	272047
745	795530	270864
746	796227	269672
747	797078	268534
748	797900	267387
749	798710	266236
750	799456	265066
751	800211	263899
752	801407	262878
753	803684	262209
754	804591	261092
755	805471	259967
756	806153	258778
757	807405	257773
758	808385	256681
759	809125	255513
760	809823	254333
761	810710	253214
762	811539	252077
763	812280	250913
764	812988	249741
765	814275	248747
766	816018	247890
767	816893	246769
768	817718	245634
769	818617	244522
770	819300	243346
771	820335	242275
772	821829	241339
773	823608	240485
774	824698	239428
775	825553	238304
776	826431	237186
777	827313	236071
778	828355	235001
779	829435	233943
780	830208	232798
781	830871	231623
782	831536	230451
783	832428	229342
784	833159	228190
785	833909	227044
786	834651	225896
787	835671	224825
788	836629	223737
789	838535	222901
790	839699	221867
791	840626	220770
792	841589	219683
793	842953	218700
794	843937	217619
795	844782	216502
796	846019	215485
797	847003	214404
798	847908	213303
799	849045	212261
800	849949	211160
801	850946	210084
802	851698	208947
803	852584	207843
804	853420	206729
805	854375	205643
806	855430	204582
807	856792	203594
808	859418	202903
809	860832	201923
810	861622	200797
811	862464	199683
812	863970	198723
813	865143	197686
814	866683	196731
815	868373	195809
816	869869	194842
817	871483	193899
818	872976	192928
819	874412	191944
820	877662	191353
821	879051	190354
822	880152	189291
823	881141	188204
824	882515	187200
825	883208	186051
826	884447	185017
827	885524	183949
828	886245	182808
829	886925	181659
830	887770	180545
831	888524	179413
832	889104	178247
833	889733	177093
834	890652	175997
835	891769	174940
836	892450	173798
837	893147	172661
838	893716	171499
839	894523	170385
840	895164	169240
841	895836	168102
842	896432	166951
843	897067	165808
844	897867	164697
845	898973	163642
846	899594	162500
847	900186	161354
848	900776	160208
849	901392	159069
850	902126	157951
851	902774	156819
852	903370	155680
853	904264	154593
854	905045	153487
855	905657	152353
856	906902	151326
857	908420	150344
858	910254	149413
859	910994	148301
860	912121	147253
861	912891	146147
862	913691	145047
863	914522	143952
864	915243	142841
865	916140	141758
866	916720	140627
867	918992	139754
868	921795	138958
869	923136	137939
870	924263	136888
871	925365	135833
872	926227	134743
873	927204	133670
874	928579	132654
875	930075	131654
876	930929	130563
877	932607	129587
878	934261	128607
879	935725	127598
880	937762	126667
881	938992	125624
882	940135	124570
883	941300	123519
884	942055	122414
885	942685	121293
886	943254	120166
887	943931	119054
888	944798	117966
889	946035	116925
890	947647	115929
891	948599	114852
892	949470	113766
893	950435	112691
894	951596	111639
895	952477	110555
896	953164	109449
897	953759	108333
898	954420	107226
899	955124	106124
900	955674	105007
901	956261	103895
902	957087	102810
903	958062	101741
904	958927	100660
905	959447	99545
906	960062	98440
907	961354	97405
908	962061	96312
909	962698	95211
910	963364	94115
911	964121	93029
912	964802	91936
913	965312	90828
914	966234	89759
915	967372	88711
916	968121	87627
917	968781	86535
918	969279	85431
919	969760	84327
920	970426	83239
921	971013	82146
922	971652	81058
923	972232	79967
924	972857	78880
925	973461	77792
926	973969	76698
927	974463	75604
928	974979	74514
929	975617	73433
930	976198	72349
931	976853	71272
932	977463	70192
933	978143	69119
934	978735	68040
935	979205	66954
936	979683	65869
937	981058	64846
938	982144	63802
939	983081	62749
940	984321	61716
941	985250	60662
942	985952	59596
943	986670	58531
944	987376	57466
945	988373	56418
946	988911	55345
947	989430	54272
948	989957	53201
949	990488	52130
950	991189	51070
951	991704	50001
952	992205	48933
953	992713	47866
954	993384	46808
955	994337	45764
956	994996	44707
957	995694	43652
958	996281	42593
959	997348	41556
960	998580	40525
961	999493	39481
962	1000361	38435
963	1001268	37391
964	1002343	36354
965	1004065	35339
966	1005196	34303
967	1006334	33267
968	1006965	32214
969	1007993	31175
970	1008661	30124
971	1009259	29073
972	1010032	28027
973	1010734	26980
974	1011233	25929
975	1011667	24877
976	1012169	23827
977	1012603	22778
978	1013213	21733
979	1013863	20691
980	1014626	19651
981	1015737	18618
982	1016856	17585
983	1017507	16544
984	1018021	15502
985	1018623	14463
986	1019319	13425
987	1020364	12393
988	1020996	11355
989	1021543	10318
990	1022166	9283
991	1022993	8249
992	1023567	7215
993	1024229	6182
994	1024839	5149
995	1025555	4118
996	1026144	3087
997	1026636	2057
998	1027129	1028
999	1027710	0
